ID,FOOD_NAME,SCIENTIFIC_NAME,GROUP,SUB_GROUP
52,Atlantic menhaden,Brevoortia tyrannus,Aquatic foods,Fishes
53,Atlantic pollock,Pollachius pollachius,Aquatic foods,Fishes
54,Atlantic salmon,Salmo salar,Aquatic foods,Fishes
55,Atlantic wolffish,Anarhichas lupus,Aquatic foods,Fishes
56,Avocado,Persea americana,Vegetables,Fruit vegetables
57,Babassu palm,Attalea speciosa,Herbs and Spices,Oilseed crops
58,Baby food,NULL,Baby foods,Baby foods
59,Bagel,NULL,Cereals and cereal products,Leavened breads
60,Baked beans,NULL,Dishes,Other dishes
61,Baked potato,NULL,Dishes,Potato dishes
62,Bamboo shoots,Phyllostachys edulis,Vegetables,Shoot vegetables
63,Banana,Musa acuminata,Fruits,Tropical fruits
64,Barley,Hordeum vulgare,Cereals and cereal products,Cereals
65,Bayberry,Myrica,Fruits,Berries
66,Bean,NULL,Pulses,Beans
67,Bearded seal,Erignathus barbatus,Aquatic foods,Pinnipeds
68,Beaver,Castor canadensis,Animal foods,Rodents
69,Beech nut,Fagus,Nuts,Nuts
70,Beefalo,Bos taurus X Bison bison,Animal foods,Bovines
71,Beer,NULL,Beverages,Fermented beverages
72,Beluga whale,Delphinapterus leucas,Aquatic foods,Cetaceans
73,Berry wine,NULL,Beverages,Fermented beverages
74,Beverages,NULL,Beverages,Beverages
75,Bilberry,Vaccinium myrtillus,Fruits,Berries
76,Biscuit,NULL,Cereals and cereal products,Cereal products
77,Bison,Bison bison,Animal foods,Bovines
78,Bitter gourd,Momordica charantia,Gourds,Gourds
79,"Bivalvia (Clam, Mussel, Oyster)",Bivalvia,Aquatic foods,Mollusks
80,Black bear,Ursus americanus,Animal foods,Other mammals
81,Black cabbage,Brassica oleracea var. viridis,Vegetables,Cabbages
82,Black chokeberry,Photinia melanocarpa,Fruits,Berries
83,Black crowberry,Empetrum nigrum,Fruits,Berries
84,Black elderberry,Sambucus nigra,Fruits,Berries
85,Black huckleberry,Gaylussacia baccata,Fruits,Berries
86,Black mulberry,Morus nigra,Fruits,Berries
87,Black radish,Raphanus sativus var. niger,Vegetables,Root vegetables
88,Black raspberry,Rubus occidentalis,Fruits,Berries
89,Black salsify,Scorzonera hispanica,Vegetables,Root vegetables
90,Black walnut,Juglans nigra,Nuts,Nuts
91,Black-eyed pea,Vigna unguiculata ssp. unguiculata,Pulses,Peas
92,Blackcurrant,Ribes nigrum,Fruits,Berries
93,Blue crab,Callinectes sapidus,Aquatic foods,Crustaceans
94,Blue mussel,Mytilus edulis,Aquatic foods,Mollusks
95,Blue whiting,Micromesistius poutassou,Aquatic foods,Fishes
96,Bluefish,Pomatomus saltatrix,Aquatic foods,Fishes
97,Bog bilberry,Vaccinium uliginosum,Fruits,Berries
98,Borage,Borago officinalis,Herbs and Spices,Oilseed crops
99,Bowhead whale,Balaena mysticetus,Aquatic foods,Cetaceans
100,Boysenberry,Rubus ursinus X idaeus,Fruits,Berries
101,Brassicas,NULL,Vegetables,Brassicas
102,Brazil nut,Bertholletia excelsa,Nuts,Nuts
103,Breadfruit,Artocarpus altilis,Fruits,Tropical fruits
104,Breadnut tree seed,Brosimum alicastrum,Herbs and Spices,Other seeds
105,Breakfast cereal,NULL,Cereals and cereal products,Cereal products
106,Breakfast sandwich,NULL,Dishes,Sandwiches
107,Broad bean,Vicia faba,Pulses,Beans
108,Broad whitefish,Coregonus nasus,Aquatic foods,Fishes
109,Broccoli,Brassica oleracea var. italica,Vegetables,Cabbages
110,Brown bear,Ursus arctos,Animal foods,Other mammals
111,Brussel sprouts,Brassica oleracea var. gemmifera,Vegetables,Cabbages
112,Buffalo,Bubalus bubalis,Animal foods,Bovines
113,Buffalo currant,Ribes aureum var. villosum,Fruits,Berries
114,Bulgur,NULL,Cereals and cereal products,Cereal products
115,Burbot,Lota lota,Aquatic foods,Fishes
116,Burdock,Arctium lappa,Vegetables,Root vegetables
117,Burrito,NULL,Dishes,Tex-Mex cuisine
118,Butter,NULL,Milk and milk products,Other milk products
119,Butter substitute,NULL,Baking goods,Substitutes
120,Butterfat,NULL,Milk and milk products,Other milk products
121,Buttermilk,NULL,Milk and milk products,Fermented milks
122,Butternut,Juglans cinerea,Nuts,Nuts
123,Butternut squash,Cucurbita moschata,Gourds,Gourds
124,Cabbage,Brassica oleracea var. capitata,Vegetables,Cabbages
125,Cake,NULL,Confectioneries,Desserts
126,Calabash,Lagenaria siceraria,Gourds,Gourds
127,Canada blueberry,Vaccinium myrtilloides,Fruits,Berries
128,Candy bar,NULL,Confectioneries,Candies
129,Canola,NULL,Herbs and spices,Oilseed crops
130,Capers,Capparis spinosa,Herbs and Spices,Spices
131,Caraway,Carum carvi,Herbs and Spices,Spices
132,Cardamom,Elettaria cardamomum,Herbs and Spices,Spices
133,Cardoon,Cynara cardunculus,Vegetables,Shoot vegetables
134,Caribou,Rangifer tarandus,Animal foods,Venison
135,Carob,Ceratonia siliqua,Vegetables,Other vegetables
136,Carp bream,Abramis brama,Aquatic foods,Fishes
137,Carrot,Daucus carota ssp. sativus,Vegetables,Root vegetables
138,Cascade huckleberry,Vaccinium deliciosum,Fruits,Berries
139,Casein,NULL,Milk and milk products,Other milk products
140,Cashew nut,Anacardium occidentale,Nuts,Nuts
141,Cassava,Manihot esculenta,Vegetables,Tubers
142,Catfish,Siluriformes,Aquatic foods,Fishes
143,Catjang pea,Vigna unguiculata ssp. cylindrica,Pulses,Peas
144,"Cattle (Beef, Veal)",Bos taurus,Animal foods,Bovines
145,Cauliflower,Brassica oleracea var. botrytis,Vegetables,Cabbages
146,Celeriac,Apium graveolens var. rapaceum,Vegetables,Root vegetables
147,Celery leaves,Apium graveolens var. secalinum,Herbs and Spices,Herbs
148,Celery stalks,Apium graveolens var. dulce,Vegetables,Stalk vegetables
149,Cereals and cereal products,NULL,Cereals and cereal products,Cereals and cereal products
150,"Cetacea (Dolphin, Porpoise, Whale)",Cetacea,Aquatic foods,Cetaceans
151,Ceylon cinnamon,Cinnamomum verum,Herbs and Spices,Spices
152,Channel catfish,Ictalurus punctatus,Aquatic foods,Fishes
153,Chanterelle,Cantharellus cibarius,Vegetables,Mushrooms
154,Charr,Salvelinus,Aquatic foods,Fishes
155,Chayote,Sechium edule,Gourds,Gourds
156,Cheese,NULL,Milk and milk products,Fermented milk products
157,Cherimoya,Annona cherimola,Fruits,Tropical fruits
158,Cherry tomato,Solanum lycopersicum var. cerasiforme,Vegetables,Fruit vegetables
159,Chervil,Anthriscus cerefolium,Herbs and Spices,Spices
160,Chestnut,Castanea,Nuts,Nuts
161,Chewing gum,NULL,Confectioneries,Candies
162,Chia,Salvia hispanica,Herbs and Spices,Other seeds
163,"Chicken (Cock, Hen, Rooster)",Gallus gallus,Animal foods,Poultry
164,Chickpea,Cicer arietinum,Pulses,Peas
165,Chicory,Cichorium intybus,Vegetables,Root vegetables
166,Chicory leaves,Cichorium intybus var. foliosum,Vegetables,Leaf vegetables
167,Chicory roots,Cichorium intybus var. sativum,Vegetables,Root vegetables
168,Chili,NULL,Dishes,Tex-Mex cuisine
169,Chimichanga,NULL,Dishes,Mexican cuisine
170,Chinese bayberry,Myrica rubra,Fruits,Berries
171,Chinese broccoli,Brassica alboglabra,Vegetables,Cabbages
172,Chinese cabbage,Brassica rapa,Vegetables,Cabbages
173,Chinese chestnut,Castanea mollissima,Nuts,Nuts
174,Chinese chives,Allium tuberosum,Herbs and Spices,Herbs
175,Chinese cinnamon,Cinnamomum aromaticum,Herbs and Spices,Spices
176,Chinese mustard,Brassica juncea,Vegetables,Cabbages
177,Chinese water chestnut,Eleocharis dulcis,Vegetables,Other vegetables
178,Chinook salmon,Oncorhynchus tshawytscha,Aquatic foods,Fishes
179,Chives,Allium schoenoprasum,Herbs and Spices,Herbs
180,Chocolate,NULL,Cocoa and cocoa products,Cocoa products
181,Chocolate mousse,NULL,Confectioneries,Desserts
182,Chocolate spread,NULL,Confectioneries,Spreads
183,Chum salmon,Oncorhynchus keta,Aquatic foods,Fishes
184,Cichlidae (Tilapia),Cichlidae,Aquatic foods,Fishes
185,Cinnamon,Cinnamomum,Herbs and Spices,Spices
186,Cisco,Coregonus artedi,Aquatic foods,Fishes
187,Citrus,NULL,Fruits,Citrus
188,Clawed lobster,Nephropidae,Aquatic foods,Crustaceans
189,Climbing bean,Vigna umbellata,Pulses,Beans
190,Cloud ear fungus,Auricularia polytricha,Vegetables,Mushrooms
191,Cloudberry,Rubus chamaemorus,Fruits,Berries
192,Cloves,Syzygium aromaticum,Herbs and Spices,Spices
193,"Clupeinae (Herring, Sardine, Sprat)",Clupeinae,Aquatic foods,Fishes
194,Coalfish pollock,Pollachius virens,Aquatic foods,Fishes
195,Cocktail,NULL,Beverages,Alcoholic beverages
196,Cocoa and cocoa products,NULL,Cocoa and cocoa products,Cocoa and cocoa products
197,Cocoa bean,Theobroma cacao,Cocoa and cocoa products,Cocoa
198,Cocoa butter,NULL,Cocoa and cocoa products,Cocoa products
199,Cocoa liquor,NULL,Cocoa and cocoa products,Cocoa products
200,Cocoa powder,NULL,Cocoa and cocoa products,Cocoa products
201,Coconut,Cocos nucifera,Fruits,Tropical fruits
202,Coffee,Coffea,Coffee and coffee products,Coffee
203,Coffee and coffee products,NULL,Coffee and coffee products,Coffee and coffee products
204,Coffee mocha,NULL,Coffee and coffee products,Coffee products
205,Coffee substitute,NULL,Baking goods,Substitutes
206,Coho salmon,Oncorhynchus kisutch,Aquatic foods,Fishes
207,Cold cut,NULL,Dishes,Ground meat
208,Colorado pinyon,Pinus edulis,Nuts,Nuts
209,"Columbidae (Dove, Pigeon)",Columbidae,Animal foods,Poultry
210,Common bean,Phaseolus vulgaris,Pulses,Beans
211,Common beet,Beta vulgaris,Vegetables,Leaf vegetables
212,Common buckwheat,Fagopyrum esculentum,Cereals and cereal products,Cereals
213,Common cabbage,Brassica oleracea,Vegetables,Cabbages
214,Common carp,Cyprinus carpio,Aquatic foods,Fishes
215,Common chokecherry,Prunus virginiana,Fruits,Drupes
216,Common dab,Limanda limanda,Aquatic foods,Fishes
217,Common grape,Vitis vinifera,Fruits,Berries
218,Common hazelnut,Corylus avellana,Nuts,Nuts
219,Common ling,Molva molva,Aquatic foods,Fishes
220,Common mushroom,Agaricus bisporus,Vegetables,Mushrooms
221,Common octopus,Octopus vulgaris,Aquatic foods,Mollusks
222,Common oregano,Origanum vulgare,Herbs and Spices,Herbs
223,Common pea,Pisum sativum,Pulses,Peas
224,Common persimmon,Diospyros virginiana,Fruits,Tropical fruits
225,Common sage,Salvia officinalis,Herbs and Spices,Herbs
226,Common salsify,Tragopogon porrifolius,Vegetables,Root vegetables
227,Common thyme,Thymus vulgaris,Herbs and Spices,Herbs
228,Common verbena,Verbena officinalis,Herbs and Spices,Herbs
229,Common walnut,Juglans regia,Nuts,Nuts
230,Common wheat,Triticum aestivum,Cereals and cereal products,Cereals
231,Conch,Strombidae,Aquatic foods,Mollusks
232,Condensed milk,NULL,Milk and milk products,Other milk products
233,Cooking oil,NULL,Baking goods,Baking goods
234,Coriander,Coriandrum sativum,Herbs and Spices,Herbs
235,Corn,Zea mays,Cereals and cereal products,Cereals
236,Corn chip,NULL,Snack foods,Snack foods
237,Corn grits,NULL,Cereals and cereal products,Cereal products
238,Corn salad,Valerianella locusta,Vegetables,Leaf vegetables
239,Cornbread,NULL,Cereals and cereal products,Flat breads
240,Cornmint,Mentha arvensis,Herbs and Spices,Herbs
241,Cottonseed,Gossypium,Herbs and Spices,Oilseed crops
242,Couscous,NULL,Dishes,Berber cuisine
243,"Cow milk, pasteurized, vitamin A + D added, 0% fat",,Milk and milk products,Unfermented milks
244,"Cow milk, pasteurized, vitamin A + D added, 1% fat",,Milk and milk products,Unfermented milks
245,"Cow milk, pasteurized, vitamin A + D added, 2% fat",,Milk and milk products,Unfermented milks
246,"Cow milk, pasteurized, vitamin D added, 3.25% fat",,Milk and milk products,Unfermented milks
247,Cowpea,Vigna unguiculata,Pulses,Peas
248,Crab,Brachyura,Aquatic foods,Crustaceans
249,Cracker,NULL,Snack foods,Snack foods
250,Crayfish,Astacidea,Aquatic foods,Crustaceans
251,Cream,NULL,Milk and milk products,Other milk products
252,Cream substitute,NULL,Baking goods,Substitutes
253,Crisp bread,NULL,Cereals and cereal products,Flat breads
254,Crustaceans,NULL,Aquatic foods,Crustaceans
255,Cucumber,Cucumis sativus,Gourds,Gourds
256,Cucurbita (Gourd),Cucurbita,Gourds,Gourds
257,Cumin,Cuminum cyminum,Herbs and Spices,Spices
258,Cupuaçu,Theobroma grandiflorum,Herbs and Spices,Oilseed crops
259,Curry powder,NULL,Herbs and Spices,Herb and spice mixtures
260,Cusk,Brosme brosme,Aquatic foods,Fishes
261,Custard apple,Annona reticulata,Fruits,Tropical fruits
262,Cuttlefish,Sepiidae,Aquatic foods,Mollusks
263,Daikon radish,Raphanus sativus var. longipinnatus,Vegetables,Root vegetables
264,Dandelion,Taraxacum officinale,Herbs and Spices,Herbs
265,Date,Phoenix dactylifera,Fruits,Other fruits
266,Deer,Cervidae,Animal foods,Venison
267,Deerberry,Vaccinium stamineum,Fruits,Berries
268,Devilfish,Myoxocephalus,Aquatic foods,Fishes
269,Dill,Anethum graveolens,Herbs and Spices,Herbs
270,Dock,Rumex,Herbs and Spices,Herbs
271,Dolphin fish,Coryphaena hippurus,Aquatic foods,Fishes
272,Domestic goat,Capra aegagrus hircus,Animal foods,Caprae
273,"Domestic pig (Piglet, Pork)",Sus scrofa domestica,Animal foods,Swine
274,Dough,NULL,Cereals and cereal products,Doughs
276,Dried milk,NULL,Milk and milk products,Other milk products
277,Dripping,NULL,Fats and oils,Animal fats
278,Dulce de leche,NULL,Confectioneries,Spreads
279,Dumpling,NULL,Dishes,Other dishes
280,Dungeness crab,Cancer magister,Aquatic foods,Crustaceans
281,Durian,Durio zibethinus,Fruits,Tropical fruits
282,Eastern oyster,Crassostrea virginica,Aquatic foods,Mollusks
283,Edible shell,NULL,Baking goods,Wrappers
284,Egg roll,NULL,Dishes,Asian cuisine
285,Egg substitute,NULL,Baking goods,Substitutes
286,Eggplant,Solanum melongena,Vegetables,Fruit vegetables
287,Eggs,NULL,Eggs,Eggs
288,Elderberry,Sambucus,Fruits,Berries
289,Elk,Cervus canadensis,Animal foods,Venison
290,Elliott's blueberry,Vaccinium elliottii,Fruits,Berries
291,Empanada,NULL,Dishes,Latin American cuisine
292,Emu,Dromaius novaehollandiae,Animal foods,Poultry
293,Enchilada,NULL,Dishes,Mexican cuisine
294,Endive,Cichorium endivia,Vegetables,Leaf vegetables
295,Energy drink,NULL,Beverages,Nutritional beverages
296,Enokitake,Flammulina velutipes,Vegetables,Mushrooms
297,Epazote,Dysphania ambrosioides,Herbs and Spices,Herbs
298,European anchovy,Engraulis encrasicolus,Aquatic foods,Fishes
299,European chestnut,Castanea sativa,Nuts,Nuts
300,European cranberry,Vaccinium oxycoccos,Fruits,Berries
301,European plum,Prunus domestica,Fruits,Drupes
302,European rabbit,Oryctolagus,Animal foods,Lagomorphs
303,Evaporated milk,NULL,Milk and milk products,Other milk products
304,Evening primrose,Oenothera biennis,Herbs and Spices,Oilseed crops
305,Evergreen huckleberry,Vaccinium ovatum,Fruits,Berries
306,Falafel,NULL,Dishes,Other dishes
307,Fats and oils,NULL,Fats and oils,Fats and oils
308,Feijoa,Feijoa sellowiana,Fruits,Tropical fruits
309,Fennel,Foeniculum vulgare,Herbs and Spices,Herbs
310,Fenugreek,Trigonella foenum-graecum,Herbs and Spices,Herbs
311,Fig,Ficus carica,Fruits,Other fruits
312,Fireweed,Chamerion angustifolium,Herbs and Spices,Herbs
313,Fish burger,NULL,Dishes,Sandwiches
314,Fishes,NULL,Aquatic foods,Fishes
315,Flatfish,Pleuronectiformes,Aquatic foods,Fishes
316,Flaxseed,Linum usitatissimum,Herbs and Spices,Oilseed crops
317,Florida pompano,Trachinotus carolinus,Aquatic foods,Fishes
318,Flour,NULL,Cereals and cereal products,Cereal products
319,Focaccia,NULL,Cereals and cereal products,Flat breads
320,Fortified wine,NULL,Beverages,Fortified wines
321,Fox grape,Vitis labrusca,Fruits,Berries
322,French plantain,Musa X paradisiaca,Fruits,Tropical fruits
323,French toast,NULL,Cereals and cereal products,Leavened breads
324,Freshwater drum,Aplodinotus grunniens,Aquatic foods,Fishes
325,Freshwater eel,Anguilla,Aquatic foods,Fishes
326,Frozen yogurt,NULL,Confectioneries,Frozen desserts
327,Fruit gum,NULL,Confectioneries,Candies
328,Fruit juice,NULL,Beverages,Other beverages
329,Fruit preserve,NULL,Fruits,Fruit products
330,Fruit salad,NULL,Fruits,Fruit products
331,Fruit-flavor drink,NULL,Beverages,Other beverages
332,Fruits,NULL,Fruits,Fruits
333,Frybread,NULL,Dishes,Other dishes
334,Fudge,NULL,Confectioneries,Candies
335,"Gadiformes (Cod, Hake)",Gadiformes,Aquatic foods,Fishes
336,Gadus (Common cod),Gadus,Aquatic foods,Fishes
337,Garden cress,Lepidium sativum,Vegetables,Leaf vegetables
338,Garden onion,Allium cepa,Vegetables,Onion-family vegetables
339,Garden onion (var.),Allium cepa var. cepa,Vegetables,Onion-family vegetables
340,Garden rhubarb,Rheum rhabarbarum,Vegetables,Stalk vegetables
341,Garden tomato,Solanum lycopersicum,Vegetables,Fruit vegetables
342,Garden tomato (var.),Solanum lycopersicum var. lycopersicum,Vegetables,Fruit vegetables
343,Garfish,Belone belone,Aquatic foods,Fishes
344,Garland chrysanthemum,Chrysanthemum coronarium,Vegetables,Leaf vegetables
345,Garlic,Allium sativum,Herbs and Spices,Herbs
346,Gefilte fish,NULL,Dishes,Jewish cuisine
347,Gelatin,NULL,Baking goods,Baking goods
348,Gelatin dessert,NULL,Confectioneries,Desserts
349,German camomile,Matricaria recutita,Herbs and Spices,Herbs
350,Giant butterbur,Petasites japonicus,Vegetables,Other vegetables
351,Gin,NULL,Beverages,Distilled beverages
352,Ginger,Zingiber officinale,Herbs and Spices,Spices
353,Ginkgo nuts,Ginkgo biloba,Herbs and Spices,Other seeds
354,Ginseng,Panax,Herbs and Spices,Spices
355,Globe artichoke,Cynara scolymus,Vegetables,Shoot vegetables
356,Gooseberry,Ribes uva-crispa,Fruits,Berries
357,Gram bean,Vigna mungo,Pulses,Beans
358,Grape,Vitis,Fruits,Berries
359,Grape wine,NULL,Beverages,Fermented beverages
360,Grapefruit,Citrus X paradisi,Fruits,Citrus
361,Grapefruit/Pummelo hybrid,Citrus paradisi X Citrus maxima,Fruits,Citrus
362,Grass pea,Lathyrus sativus,Pulses,Peas
363,Great horned owl,Bubo virginianus,Animal foods,Poultry
364,Greater sturgeon,Acipenser,Aquatic foods,Fishes
365,Green bean,Phaseolus vulgaris,Pulses,Beans
366,Green bell pepper,Capsicum annuum,Vegetables,Fruit vegetables
367,Green turtle,Chelonia mydas,Aquatic foods,Other aquatic foods
368,Green vegetables,NULL,Vegetables,Green vegetables
369,Green zucchini,Cucurbita pepo var. cylindrica,Gourds,Gourds
370,Greenland halibut/turbot,Reinhardtius hippoglossoides,Aquatic foods,Fishes
371,Greenthread tea,Thelesperma,Teas,Herbal teas
372,Greylag goose,Anser anser,Animal foods,Poultry
373,Groundcherry,Physalis,Vegetables,Fruit vegetables
374,Grouper,Epinephelus,Aquatic foods,Fishes
375,Guava,Psidium guajava,Fruits,Tropical fruits
376,Guinea hen,Numida meleagris,Animal foods,Poultry
377,Haddock,Melanogrammus aeglefinus,Aquatic foods,Fishes
378,Half-highbush blueberry,Vaccinium angustifolium X Vaccinium corymbosum,Fruits,Berries
379,Hamburger,NULL,Dishes,Sandwiches
380,Hard wheat,Triticum durum,Cereals and cereal products,Cereals
381,Hazelnut,Corylus,Nuts,Nuts
382,Heart of palm,NULL,Vegetables,Other vegetables
383,Hedge mustard,Sisymbrium,Herbs and Spices,Other seeds
384,Herbs and Spices,NULL,Herbs and Spices,Herbs and Spices
385,Hibiscus tea,Hibiscus sabbariffa,Teas,Herbal teas
386,Hickory nut,Carya,Nuts,Nuts
387,Highbush blueberry,Vaccinium corymbosum,Fruits,Berries
388,Hippoglossus (Common halibut),Hippoglossus,Aquatic foods,Fishes
389,Honey,NULL,Confectioneries,Other confectioneries
390,Horchata,NULL,Beverages,Other beverages
391,Horned melon,Cucumis metuliferus,Gourds,Gourds
392,Horse,Equus caballus,Animal foods,Equines
393,Horseradish,Armoracia rusticana,Herbs and Spices,Spices
394,Horseradish tree,Moringa oleifera,Vegetables,Other vegetables
395,Hot chocolate,NULL,Cocoa and cocoa products,Cocoa products
396,Hot dog,NULL,Dishes,Sandwiches
397,Hummus,NULL,Dishes,Levantine cuisine
398,Hushpuppy,NULL,Dishes,American cuisine
399,Hyacinth bean,Lablab purpureus,Pulses,Beans
400,Hyssop,Hyssopus officinalis,Herbs and Spices,Herbs
401,Ice cream,NULL,Confectioneries,Frozen desserts
402,Ice cream cone,NULL,Baking goods,Wrappers
403,Icing,NULL,Confectioneries,Other confectioneries
404,Irish moss,Chondrus crispus,Aquatic foods,Seaweed
405,Italian oregano,Origanum X majoricum,Herbs and Spices,Herbs
406,Italian sweet red pepper,Capsicum annuum,Vegetables,Fruit vegetables
407,Jackfruit,Artocarpus heterophyllus,Fruits,Tropical fruits
408,Japanese chestnut,Castanea crenata,Nuts,Nuts
409,Japanese persimmon,Diospyros kaki,Fruits,Tropical fruits
410,Japanese pumpkin,Cucurbita maxima,Gourds,Gourds
411,Japanese walnut,Juglans ailanthifolia,Nuts,Nuts
412,Java plum,Syzygium cumini,Fruits,Tropical fruits
413,Jellyfish,Scyphozoa,Aquatic foods,Other aquatic foods
414,Jerusalem artichoke,Helianthus tuberosus,Vegetables,Tubers
415,Jew's ear,Auricularia auricula-judae,Vegetables,Mushrooms
416,Jicama,Pachyrhizus erosus,Vegetables,Root vegetables
417,Jostaberry,Ribes × nidigrolaria,Fruits,Berries
418,Jujube,Ziziphus zizyphus,Fruits,Other fruits
419,Junket,NULL,Confectioneries,Milk desserts
420,Jute,Corchorus olitorius,Vegetables,Leaf vegetables
421,Kai-lan,Brassica oleracea var. alboglabra,Vegetables,Cabbages
422,Kale,Brassica napus var. pabularia,Vegetables,Cabbages
423,Kefir,NULL,Milk and milk products,Fermented milks
424,Kelp,Laminaria,Aquatic foods,Seaweed
425,Ketchup,NULL,Baking goods,Condiments
426,King mackerel,Scomberomorus cavalla,Aquatic foods,Fishes
427,Kiwi,Actinidia chinensis,Fruits,Tropical fruits
428,Kohlrabi,Brassica oleracea var. gongylodes,Vegetables,Root vegetables
429,Komatsuna,Brassica rapa var. perviridis,Vegetables,Cabbages
430,Kombu,Saccharina japonica,Aquatic foods,Seaweed
431,Kumquat,Fortunella,Fruits,Tropical fruits
432,Lake trout,Salvelinus namaycush,Aquatic foods,Fishes
433,Lambsquarters,Chenopodium album,Vegetables,Leaf vegetables
434,Lard,NULL,Fats and oils,Animal fats
435,Lasagna,NULL,Dishes,Pasta dishes
436,Leather chiton,Katharina tunicata,Aquatic foods,Mollusks
437,Leavening agent,NULL,Baking goods,Baking goods
438,Leek,Allium porrum,Vegetables,Onion-family vegetables
439,Lemon,Citrus limon,Fruits,Citrus
440,Lemon balm,Melissa officinalis,Herbs and Spices,Herbs
441,Lemon grass,Cymbopogon citratus,Herbs and Spices,Herbs
442,Lemon sole,Microstomus kitt,Aquatic foods,Fishes
443,Lemon thyme,Thymus pulegioides,Herbs and Spices,Herbs
444,Lemon verbena,Aloysia triphylla,Herbs and Spices,Herbs
445,Lentils,Lens culinaris,Pulses,Lentils
446,Lettuce,Lactuca sativa,Vegetables,Leaf vegetables
447,Lichee,Litchi chinensis,Fruits,Tropical fruits
448,Lima bean,Phaseolus lunatus,Pulses,Beans
449,Lime,Citrus aurantiifolia,Fruits,Citrus
450,Linden,Tilia,Herbs and Spices,Herbs
451,Lingcod,Ophiodon elongatus,Aquatic foods,Fishes
452,Lingonberry,Vaccinium vitis-idaea,Fruits,Berries
453,Liquor,NULL,Beverages,Distilled beverages
454,Liquorice,NULL,Confectioneries,Candies
455,Loganberry,Rubus loganobaccus,Fruits,Berries
456,Longan,Dimocarpus longan,Fruits,Tropical fruits
457,Loquat,Eriobotrya japonica,Fruits,Tropical fruits
458,Lotus,Nelumbo,Herbs and Spices,Other seeds
459,Lovage,Levisticum officinale,Herbs and Spices,Herbs
460,Lowbush blueberry,Vaccinium angustifolium,Fruits,Berries
461,Lumpsucker,Cyclopteridae,Aquatic foods,Fishes
462,Lupine,Lupinus,Pulses,Other pulses
463,Macadamia nut,Macadamia,Nuts,Nuts
464,Macadamia nut (M. tetraphylla),Macadamia tetraphylla,Nuts,Nuts
